x,y,token
-13.193214,-38.32847,","
-13.455554,-37.764153,the
-13.208204,-38.044792,and
-13.587155,-39.043606,.
-13.054964,-37.547115,of
24.723326,49.122246,:
-13.725718,-38.64548,to
-14.749546,-37.754303,a
-12.958766,-37.649406,in
-34.19783,29.076864,I
-13.263328,-38.410137,;
-14.782881,-39.199326,that
-17.46632,-46.359703,he
-19.74088,-44.24541,his
-5.0576606,-2.6627696,'
-14.940812,-39.2396,it
-17.692656,-42.281216,was
-13.723316,-39.82653,for
-33.048832,15.973686,not
-13.066349,-37.890556,with
12.212998,48.331764,And
-32.601204,12.958922,is
-16.72337,-41.159184,be
-30.568876,-48.46747,""""
-34.174232,29.13875,you
-15.119732,-40.562405,as
-13.085767,-37.893764,all
-17.571909,-45.05497,him
-17.204811,-44.741158,they
-50.51232,32.866608,shall
-47.243073,-46.45971,her
-17.46749,-44.953957,them
-17.536455,-42.01803,had
-17.300974,-41.71043,have
-13.091827,-48.152283,s
-33.31018,28.742004,my
-30.652294,-47.83653,said
-33.147686,28.516565,me
-13.904392,-39.792896,but
21.793991,40.099457,unto
27.954926,-55.167664,-
-12.502362,-37.480503,from
-13.477442,-40.13369,at
-14.761986,-39.127766,which
-4.2214503,-41.70697,on
-12.899715,-37.422947,by
-14.885714,-38.718273,this
9.5285425,-19.93432,The
15.004933,-40.557655,their
-47.252995,-46.450764,she
-42.15698,35.148132,?
-50.488457,32.818336,will
-17.324112,-42.988796,were
22.028917,46.28647,LORD
-17.317127,-43.034153,are
-15.101428,-40.60284,so
4.7929006,55.159393,thou
-12.971354,-36.951572,or
-40.84418,35.700645,"."""
-10.642741,-35.831093,one
-42.72413,36.287045,!
1.2054104,-66.54901,out
-28.239883,38.194977,--
-17.052082,-39.660686,man
1.239904,51.940113,thy
-7.716618,-51.24508,when
-19.728966,18.995518,there
0.63244736,-66.45975,up
-35.642605,14.9934,no
21.628847,44.387444,God
-33.418434,28.830242,your
1.3996798,51.983067,thee
-14.961689,-37.46486,an
-30.48552,-48.414986,","""
12.368924,48.33907,But
-4.199038,-41.72339,upon
13.231802,46.024147,ye
-47.44816,25.345411,do
-26.14982,41.938488,we
-31.783205,27.66523,what
1.2644544,-66.55946,into
-23.867987,-18.274925,more
-15.16499,-40.250698,if
-52.609665,31.969732,would
-47.507748,14.401852,very
-17.439627,-46.423485,He
-21.38642,-39.466064,who
-52.774834,31.904024,could
-54.928345,-20.375452,been
-10.593051,-44.757652,now
28.32518,-53.411453,like
-29.233013,5.1420994,before
-35.672646,14.978084,any
-5.6220803,-59.070637,came
-49.26887,-36.937378,day
-29.853329,19.57227,come
-48.83763,25.664999,know
-46.802795,29.652634,am
-52.83895,31.867414,did
-10.678225,-44.831882,then
23.9315,65.58594,1
-23.874718,-18.24708,than
44.937775,31.926018,house
-20.81397,-54.669716,little
24.160192,65.3426,2
-25.727983,42.20512,us
37.625927,33.23732,people
-17.105701,-47.81446,great
0.5051084,-66.46294,down
-48.98601,26.126959,see
1.4553494,-41.9279,made
9.770677,16.2013,every
-40.70348,28.212147,good
12.697473,48.387226,For
-47.076797,25.2922,say
16.654451,8.209666,men
24.144129,65.36323,3
-49.225582,-36.986446,time
45.919044,40.644844,king
61.200645,31.915316,Israel
-6.3588233,48.914494,d
-10.969009,-23.383532,some
-36.217606,10.373908,It
-8.8232765,-33.154606,about
24.360725,65.07893,4
-29.6195,21.879702,go
-25.624712,42.289833,our
-52.429024,32.030952,should
7.7197833,-51.92564,over
20.712608,32.473392,hath
-51.23977,32.49724,may
-10.828525,-35.764847,other
-5.301844,-42.45101,after
39.872643,0.28164676,hand
16.08064,5.0402894,these
49.514664,54.30036,son
-26.485605,0.734852,only
24.534105,64.74592,7
-41.84307,-43.95321,Mr
-21.497211,12.469696,such
24.285265,65.164825,5
24.576204,64.83058,6
-42.15072,35.090378,"?"""
-5.545802,-59.11478,went
-14.834584,-28.181215,even
-51.32627,32.424374,must
-45.650753,11.504324,much
67.09438,4.4537935,two
26.113813,16.254368,against
-38.271854,34.21618,t
48.62929,17.628984,children
24.705544,64.65674,9
-33.668453,5.861264,own
24.732033,64.650566,8
11.7901125,48.365517,Then
-20.207798,26.998215,make
-50.29811,32.825256,can
24.823166,64.624214,10
24.730022,64.662926,11
22.273344,25.541254,also
-0.6735249,-66.528534,again
54.543503,31.584185,land
16.176422,55.767815,O
-1.3824388,-67.62184,away
24.681526,64.746796,12
-31.611225,11.769523,thing
1.8231018,25.547342,things
-52.394314,32.048847,might
-44.195312,14.077049,well
24.775837,64.50158,13
-9.05609,-48.318653,way
-2.3444471,-40.351036,old
8.343006,59.93153,let
24.813496,64.48645,14
-15.277436,14.389044,yet
-31.753742,27.703415,how
-64.246445,-32.87268,Mrs
-39.432304,-30.6677,first
24.963785,64.54524,15
-42.702324,36.258915,"!"""
-48.322224,15.705603,never
-34.53622,44.354725,(
24.76546,64.48348,16
-17.469372,-46.311436,himself
1.9306651,-41.98299,long
42.377434,48.901287,saying
37.428116,55.72381,father
-34.343903,29.49663,You
-20.153944,27.27283,give
4.4599996,55.459633,shalt
-48.50097,24.723734,think
-0.36510208,57.187687,What
21.702738,45.4211,Lord
-20.958792,21.094088,because
-28.49721,-2.9795816,being
-17.284645,17.314775,ever
-3.6652224,-59.720284,saw
-47.30026,-46.438488,She
24.88015,64.54577,18
-17.460314,-41.821156,has
21.219374,-7.183391,In
-31.822819,-33.019203,heard
-11.412439,48.804447,To
8.426421,12.102151,They
16.086735,5.018586,those
-19.503311,28.30746,take
-1.3878553,-67.63551,off
-7.817087,3.84032,place
-39.844284,-3.8920937,without
29.220425,29.435024,put
24.95866,64.4445,19
37.23804,-9.303887,earth
16.09658,5.034076,many
24.824696,64.34133,17
-15.477333,14.36337,though
18.790947,-48.739834,through
41.97163,43.6535,name
14.989861,25.478354,heart
25.17477,64.21786,20
4.1522593,35.949368,nor
-7.7198,3.898297,where
-47.438843,14.402996,too
-21.50375,-10.269898,most
-7.149384,5.3591027,A
11.605576,48.392918,So
24.999056,64.24598,21
32.832317,-56.679905,head
-31.592922,26.454384,here
25.095282,64.57475,22
31.33864,-59.34997,eyes
-7.9804845,51.516506,That
-0.28390056,22.451653,life
34.60414,36.702477,whom
-22.27704,36.717476,nothing
-45.39621,14.666551,thought
42.987255,26.777702,among
-38.071903,5.3077464,done
-39.501904,-30.72971,last
44.00266,-37.91813,sea
27.580177,45.322166,word
25.241472,64.387436,23
-5.679768,-53.524254,still
-3.905241,58.481136,If
22.292513,47.55239,saith
-39.38232,-30.669893,same
12.892659,48.48157,Now
31.860134,-56.68088,face
23.993513,-35.014847,its
41.556503,34.022346,days
-30.935009,-4.2127748,found
-12.46439,-54.716682,voice
40.907124,32.018116,took
38.881065,27.759836,brought
-2.9267044,16.927464,world
-16.854122,-50.701756,just
9.758607,16.193481,another
25.062366,64.2566,24
-15.430739,29.229982,This
59.530945,48.48292,sons
-4.526969,49.110542,As
67.02978,4.596944,three
5.0738316,54.95273,hast
33.665337,19.105549,forth
-49.276066,-36.954044,night
58.971188,25.907482,side
15.983629,37.615192,therefore
42.66901,18.0736,set
-19.656706,19.047203,There
14.428262,-52.542484,round
40.86582,21.436512,young
41.782433,43.505024,called
-65.60692,-33.3483,Miss
37.411545,55.74493,mother
46.12668,51.586502,David
-29.083916,43.664917,hear
-32.552094,-48.007313,cried
-0.58107257,-66.54945,back
-13.004883,-34.77577,seemed
25.32918,64.44967,25
27.659882,-6.2155848,Of
42.395622,34.72502,pass
31.423744,-35.27496,under
-5.8223658,-1.9526687,right
6.329406,34.639206,love
-48.938534,25.788805,tell
-5.615653,0.11483424,while
25.127243,64.377144,26
27.577892,46.423454,words
-1.3523694,47.568714,When
-31.916431,-38.026394,look
-47.565166,14.288586,quite
-56.99127,-24.296993,soon
0.74410486,51.843433,thine
54.648815,29.529924,city
66.52165,8.180717,years
-2.5598757,-25.830944,left
33.710464,-1.2720575,hands
7.0627813,14.294491,both
-45.679638,14.988911,always
-3.4992516,-59.910114,looked
22.840023,43.598198,Jesus
4.1602025,35.950783,neither
-32.342625,38.113407,Oh
-47.295094,-46.43625,herself
-0.07903698,51.66412,mine
25.60689,64.51283,27
44.97353,29.393705,together
36.971912,44.50403,sent
-21.423967,-0.68446445,whole
7.4869356,45.765453,bring
30.130499,34.727486,woman
-31.726622,-4.431614,seen
-44.649387,32.43531,No
-57.75955,11.03272,.--
47.075687,9.659577,thereof
22.898338,-64.38698,whale
-26.247477,41.87352,We
-29.093204,43.652893,speak
-1.6281354,-59.126495,stood
-0.22841454,-27.453945,till
40.845257,32.02104,gave
31.847706,-5.8300676,high
-0.14688866,22.60484,soul
-48.25236,28.760798,sure
25.403694,64.439644,28
-12.575039,-16.526457,far
-19.150522,46.7274,My
-45.219448,19.942621,something
33.259613,2.2199197,work
44.69425,4.701819,fire
1.5715481,-23.49015,end
-12.949487,-26.89814,half
-65.650894,-25.648031,Emma
-49.97846,-35.605103,morning
51.405094,39.232582,Moses
-28.786669,4.1442456,once
-31.69706,27.803892,How
-0.24620008,22.580807,death
-17.4964,20.706448,given
27.701393,51.795116,behold
-39.49695,-0.15614536,part
47.225857,7.6702175,eat
-40.235935,13.876166,better
4.801569,55.355602,Thou
60.698624,31.998299,Jerusalem
61.007694,31.99141,Judah
19.880192,38.42041,according
-19.03963,25.941647,poor
36.5788,48.697544,answered
24.611584,63.845013,29
16.954802,30.902637,evil
41.101944,5.731969,water
-51.278374,32.39358,cannot
33.086147,0.76747495,full
-47.476707,14.381181,enough
-28.711876,-38.38909,rather
2.0924377,17.0058,His
5.4951944,15.411858,thus
-61.927746,19.804739,told
-47.89924,17.810944,myself
-29.73724,18.519123,going
44.76892,29.417929,themselves
8.367806,59.916042,Let
67.09832,6.802433,hundred
49.521835,11.822718,offering
38.329216,-13.772323,light
31.976192,-12.121249,With
-2.5733986,-55.3901,door
-44.294765,21.500813,indeed
-34.57222,-37.97252,moment
-16.196985,16.262625,body
-31.582777,-46.93535,began
67.25755,6.868711,thousand
37.453876,55.71383,brother
-56.713367,6.829096,mind
-0.085673995,28.430109,rest
31.321661,-35.126392,between
-43.234276,34.77396,!--
-10.9474,-35.711506,each
-61.807564,19.151018,knew
20.631603,4.7954245,All
11.672087,24.849688,sight
24.664991,63.97349,30
37.264675,-9.374164,heaven
18.628422,17.978775,dead
43.34261,43.523846,whose
25.60054,64.69052,31
-13.006513,-34.822094,almost
-7.410812,-59.299442,turned
22.460976,-63.284145,ship
-38.993217,20.76539,find
-2.9635155,-56.393345,room
37.475716,55.71715,wife
21.778627,35.387592,law
29.20697,24.798206,blood
-0.35241383,57.142822,Why
-60.43464,14.802965,friend
33.86277,47.866932,priest
-25.673164,1.9897101,gone
-38.14271,34.322166,don
-28.524334,-3.0662806,having
-65.65226,-25.642656,Elinor
-29.717049,21.826626,get
13.109691,44.022476,keep
-53.626587,-31.063946,home
-37.433422,34.74572,ll
12.995497,5.994786,new
-57.698296,6.4456882,hope
34.272446,-51.878,white
-36.939518,-31.914045,few
-48.669262,24.668762,really
24.608292,63.944992,32
38.678165,50.843246,spake
-42.802467,31.133072,dear
55.97041,0.29376557,gold
-0.03026947,56.919224,Who
-50.038292,24.426685,believe
38.168404,27.935362,taken
21.617842,44.893047,Father
